horizon_hours,points,mae,season
3,124200,15.746855735778809,DJF
3,135424,10.341322898864746,MAM
3,135424,6.892933368682861,JJA
3,133952,9.273805618286133,SON
6,124200,21.382553100585938,DJF
6,135424,13.565387725830078,MAM
6,135424,8.966700553894043,JJA
6,133952,12.44994068145752,SON
12,124200,25.78187370300293,DJF
12,135424,15.796180725097656,MAM
12,135424,10.341880798339844,JJA
12,133952,14.75353717803955,SON
24,124200,29.040212631225586,DJF
24,135424,17.108339309692383,MAM
24,135424,10.9761962890625,JJA
24,133952,16.38811492919922,SON
36,124200,31.66421890258789,DJF
36,135424,18.411794662475586,MAM
36,135424,11.783226013183594,JJA
36,133952,17.81449317932129,SON
48,124200,32.20391845703125,DJF
48,135424,18.388566970825195,MAM
48,135424,11.789587020874023,JJA
48,133952,18.13772964477539,SON
72,124200,34.19288635253906,DJF
72,135424,18.68096351623535,MAM
72,135424,12.149191856384277,JJA
72,133952,18.825740814208984,SON
