horizon_hours,points,mae,season
3,124200,15.680980682373047,DJF
3,135424,10.223479270935059,MAM
3,135424,6.80655574798584,JJA
3,133952,9.162254333496094,SON
6,124200,21.395668029785156,DJF
6,135424,13.484272003173828,MAM
6,135424,8.876489639282227,JJA
6,133952,12.393721580505371,SON
12,124200,25.702184677124023,DJF
12,135424,15.683497428894043,MAM
12,135424,10.265929222106934,JJA
12,133952,14.642753601074219,SON
24,124200,28.680068969726562,DJF
24,135424,17.08616065979004,MAM
24,135424,10.921721458435059,JJA
24,133952,16.2064266204834,SON
36,124200,31.17768669128418,DJF
36,135424,18.33426284790039,MAM
36,135424,11.65535831451416,JJA
36,133952,17.559892654418945,SON
48,124200,32.0007438659668,DJF
48,135424,18.48234748840332,MAM
48,135424,11.7462158203125,JJA
48,133952,18.02076530456543,SON
72,124200,34.19852066040039,DJF
72,135424,18.82135009765625,MAM
72,135424,12.180161476135254,JJA
72,133952,18.532180786132812,SON
