horizon_hours,signal,residual_correlation
3,spatial_innovation,0.11087822057953067
3,neighbor_trend,0.17895928215132031
3,regional_factor,0.048722438503978005
3,wind_aligned_innovation,0.1847690778851971
3,wind_lagged_innovation_3h,0.13539811211829245
3,wind_lagged_innovation_6h,0.06320429125634042
3,dewpoint,-0.021139423747750588
3,precipitation,-0.03961012790165949
3,boundary_layer_height,-0.06912101844369659
3,ventilation,-0.0514270754166461
3,dewpoint_deficit,-0.028981353786128733
6,spatial_innovation,0.12093471476278417
6,neighbor_trend,0.10563775002628426
6,regional_factor,0.06579462674762956
6,wind_aligned_innovation,0.1926618820908483
6,wind_lagged_innovation_3h,0.11365746986725636
6,wind_lagged_innovation_6h,0.0522453444252647
6,dewpoint,-0.007927719279190556
6,precipitation,-0.03956821056431593
6,boundary_layer_height,-0.053917035577197354
6,ventilation,-0.04192241710642473
6,dewpoint_deficit,-0.03812970454407368
12,spatial_innovation,0.0848521060998529
12,neighbor_trend,0.09112140303676669
12,regional_factor,0.05648083217258475
12,wind_aligned_innovation,0.13916352246392574
12,wind_lagged_innovation_3h,0.0793390712722868
12,wind_lagged_innovation_6h,0.034383261501823435
12,dewpoint,-0.012365707888985894
12,precipitation,-0.0393255713516331
12,boundary_layer_height,-0.05936792251593849
12,ventilation,-0.0413490814271069
12,dewpoint_deficit,-0.04883978341660214
24,spatial_innovation,0.01388755547192944
24,neighbor_trend,0.08178514663574814
24,regional_factor,0.008827736087728171
24,wind_aligned_innovation,0.040149331082137606
24,wind_lagged_innovation_3h,0.02146270887613128
24,wind_lagged_innovation_6h,0.013230288871393691
24,dewpoint,0.0014568004030861821
24,precipitation,-0.03441659884344121
24,boundary_layer_height,-0.05513010848071797
24,ventilation,-0.03356512842699008
24,dewpoint_deficit,-0.056546673995254995
36,spatial_innovation,0.022259486555303586
36,neighbor_trend,0.03885423597670399
36,regional_factor,0.020943316725252764
36,wind_aligned_innovation,0.029840658162328976
36,wind_lagged_innovation_3h,0.0182302042035668
36,wind_lagged_innovation_6h,0.005773345885464566
36,dewpoint,0.007066014798002958
36,precipitation,-0.02872659588626902
36,boundary_layer_height,-0.0671675652440736
36,ventilation,-0.042774392526611325
36,dewpoint_deficit,-0.07218573889389905
48,spatial_innovation,-0.004093825206406244
48,neighbor_trend,0.03349233297973484
48,regional_factor,-0.0021859231711867048
48,wind_aligned_innovation,-0.0027507737483535876
48,wind_lagged_innovation_3h,-0.006069577078043528
48,wind_lagged_innovation_6h,-0.0036657398393304527
48,dewpoint,0.02366895730116319
48,precipitation,-0.026365365298706315
48,boundary_layer_height,-0.06327769049785568
48,ventilation,-0.035005952382954675
48,dewpoint_deficit,-0.0731582147589388
72,spatial_innovation,-0.013421876544895446
72,neighbor_trend,0.023924070349813652
72,regional_factor,-0.012403205852062723
72,wind_aligned_innovation,-0.011561169581024617
72,wind_lagged_innovation_3h,-0.009816357102768982
72,wind_lagged_innovation_6h,-0.006328712532491988
72,dewpoint,0.02531704119680379
72,precipitation,-0.0298659384108321
72,boundary_layer_height,-0.06288878996147318
72,ventilation,-0.02912877061505309
72,dewpoint_deficit,-0.07007164559071835
