horizon_hours,points,mae,event_phase
3,478459,8.28076457977295,normal
3,11335,41.208412170410156,onset
3,27828,25.11357307434082,continuation
3,11378,31.041654586791992,decay
6,473324,10.893196105957031,normal
6,16470,50.61434555053711,onset
6,22630,34.97474670410156,continuation
6,16576,34.060176849365234,decay
12,469171,12.795555114746094,normal
12,20623,57.18593215942383,onset
12,18389,44.77021408081055,continuation
12,20817,31.79543685913086,decay
24,465585,14.052224159240723,normal
24,24209,61.6628532409668,onset
24,14679,52.759307861328125,continuation
24,24527,29.197715759277344,decay
36,461810,15.222597122192383,normal
36,27984,66.63487243652344,onset
36,10716,56.8537483215332,continuation
36,28490,27.443431854248047,decay
48,461070,15.591974258422852,normal
48,28724,66.5223617553711,onset
48,9980,57.45057678222656,continuation
48,29226,27.679018020629883,decay
72,459571,16.28534698486328,normal
72,30223,70.19078063964844,onset
72,8663,56.34089660644531,continuation
72,30543,27.32208251953125,decay
