horizon_hours,pm_bin,points,mae
3,"[0,35)",231513,6.382823944091797
3,"[35,75)",200398,9.487655639648438
3,"[75,115)",61588,15.650233268737793
3,"[115,150)",18732,23.347797393798828
3,"[150,250)",13805,34.27375411987305
3,"[250,inf)",2704,81.14663696289062
6,"[0,35)",231527,9.188464164733887
6,"[35,75)",200429,11.868285179138184
6,"[75,115)",61606,20.19333839416504
6,"[115,150)",18725,31.7584171295166
6,"[150,250)",13771,48.771915435791016
6,"[250,inf)",2682,118.54215240478516
12,"[0,35)",231556,11.254408836364746
12,"[35,75)",200468,13.235777854919434
12,"[75,115)",61611,23.378408432006836
12,"[115,150)",18731,38.47972106933594
12,"[150,250)",13723,61.48768615722656
12,"[250,inf)",2650,147.3108673095703
24,"[0,35)",231612,12.901216506958008
24,"[35,75)",200540,13.879678726196289
24,"[75,115)",61629,24.54955291748047
24,"[115,150)",18685,42.87480163574219
24,"[150,250)",13621,71.6674575805664
24,"[250,inf)",2652,170.14833068847656
36,"[0,35)",231689,13.994050025939941
36,"[35,75)",200676,14.813395500183105
36,"[75,115)",61616,26.516582489013672
36,"[115,150)",18599,46.81512451171875
36,"[150,250)",13530,79.08291625976562
36,"[250,inf)",2630,183.3802032470703
48,"[0,35)",231700,14.643715858459473
48,"[35,75)",200671,15.072917938232422
48,"[75,115)",61645,26.022066116333008
48,"[115,150)",18562,46.56989288330078
48,"[150,250)",13489,80.2381362915039
48,"[250,inf)",2675,186.4613800048828
72,"[0,35)",231317,15.385108947753906
72,"[35,75)",200750,15.689969062805176
72,"[75,115)",61832,26.368635177612305
72,"[115,150)",18585,47.9053840637207
72,"[150,250)",13531,85.09188842773438
72,"[250,inf)",2727,194.92591857910156
