split,season,hours,any_spike_rate,regional_spike_rate,mean_simultaneous
test,autumn,2184,0.1794871794871795,0.09752747252747253,1.15018315018315
test,summer,916,0.017467248908296942,0.007641921397379912,0.08733624454148471
test,winter,2160,0.3175925925925926,0.22361111111111112,2.5009259259259258
train,autumn,6552,0.20207570207570208,0.12912087912087913,1.51007326007326
train,spring,6624,0.16621376811594202,0.07427536231884058,0.9533514492753623
train,summer,6624,0.10945048309178744,0.034873188405797104,0.478713768115942
train,winter,4744,0.30185497470489037,0.16842327150084316,2.0155986509274872
val,spring,2208,0.14447463768115942,0.08514492753623189,1.006340579710145
val,summer,1292,0.032507739938080496,0.006191950464396285,0.09752321981424149
val,winter,1760,0.21818181818181817,0.12045454545454545,1.4369318181818183
