station_a,station_b,distance_km,raw_level_rho,change_rho,regional_residual_rho,residual_change_rho
Aotizhongxin,Changping,29.741793,0.8713919267041913,0.13632529910898608,-0.33387623547409906,-0.15047021109524458
Aotizhongxin,Dingling,37.61139,0.8597826317267205,0.09887511477964345,-0.3438859982895179,-0.14904585589030175
Aotizhongxin,Dongsi,6.134782,0.9602196191439238,0.5010349116550903,0.3382280769267408,0.15547215512596943
Aotizhongxin,Guanyuan,7.6922956,0.9629339526689278,0.4628746566738243,0.3189991760903932,0.10363055127117676
Aotizhongxin,Gucheng,19.667995,0.9200449391443308,0.2733108280508021,-0.11195684491812224,-0.09336132091597651
Aotizhongxin,Huairou,43.192665,0.8752493177374686,0.15301412150575897,-0.32470939463448395,-0.1486193574777487
Aotizhongxin,Nongzhanguan,7.4019027,0.9602048076519412,0.46622688598758716,0.3368913529043946,0.1355248580020498
Aotizhongxin,Shunyi,27.242853,0.9081497349333812,0.2629663441707758,-0.07589838683405103,-0.09043609636136712
Aotizhongxin,Tiantan,10.708139,0.9499173221792152,0.3798054900511181,0.1782954530413962,-0.00584023228659079
Aotizhongxin,Wanliu,9.387864,0.9506424953303059,0.3910824958229715,0.14334263025752553,0.04426270244798302
Aotizhongxin,Wanshouxigong,12.184135,0.9377339864590525,0.38079696861429646,0.1403819170021187,-0.03545409505030453
Changping,Dingling,8.382936,0.9255099258225,0.277963553263929,0.647108788209452,0.30173424034510754
Changping,Dongsi,35.758984,0.8504437036054466,0.11354393255426441,-0.5254271336808226,-0.25299689768200023
Changping,Guanyuan,33.339878,0.8659551166985617,0.12585053879097474,-0.38305682692912973,-0.19482969935379327
Changping,Gucheng,33.91837,0.8745904870164856,0.16083587148887435,0.00919289413379114,-0.026980191117141245
Changping,Huairou,35.950787,0.8663050987033938,0.1988195227438513,0.33936201959949963,0.14010086618728512
Changping,Nongzhanguan,36.818798,0.8509949709261638,0.11001011421481907,-0.44834335862581465,-0.1920737422888302
Changping,Shunyi,37.47138,0.8391170762313438,0.12307215130595549,-0.08764592741175972,-0.028659768300941232
Changping,Tiantan,39.768864,0.8428642788544192,0.09994914637607787,-0.44851515777944945,-0.1965204152101425
Changping,Wanliu,26.030325,0.8751425023895065,0.1543779778716585,-0.09023993279972195,-0.08108677156084337
Changping,Wanshouxigong,39.099327,0.8356198534706478,0.10828285831736209,-0.49480451285349397,-0.2116372949907925
Dingling,Dongsi,43.70239,0.8385705479233132,0.08450247975664514,-0.5252080075611792,-0.2533338012325332
Dingling,Guanyuan,41.61304,0.853502391244659,0.09642185103318252,-0.38405340138273253,-0.19147291982470938
Dingling,Gucheng,42.142998,0.8590043914766397,0.12999394671580392,-0.013231305354183851,-0.014413636277595178
Dingling,Huairou,34.825573,0.8626331892233188,0.1731175416736105,0.3741318926356081,0.17210141232352522
Dingling,Nongzhanguan,44.476852,0.8362315266606156,0.0743564955014489,-0.4482036342261161,-0.19281374589931116
Dingling,Shunyi,41.24495,0.8359737855027835,0.11552506026740021,-0.051968370389310736,0.017270781522427902
Dingling,Tiantan,47.865444,0.8315832783034622,0.08335250450667997,-0.4546595646406487,-0.17253383723264834
Dingling,Wanliu,34.38964,0.8566631328750298,0.11485455991691557,-0.14465698649436476,-0.07682708946355989
Dingling,Wanshouxigong,47.38478,0.8227769785021679,0.08739907285379714,-0.4905831140606636,-0.20244972280509696
Dongsi,Guanyuan,6.651028,0.963060474047821,0.503128557453069,0.37687527408903787,0.1452770189176351
Dongsi,Gucheng,19.938936,0.9126643530003858,0.27156757169262064,-0.15741185723747894,-0.15197709147145777
Dongsi,Huairou,47.856102,0.8619342434561366,0.14603669790688187,-0.4443585280867741,-0.23397965113013144
Dongsi,Nongzhanguan,3.8556743,0.963311453836093,0.5579097302511794,0.4839346908832833,0.2788026184079734
Dongsi,Shunyi,29.923244,0.8998991148032314,0.25400368080941244,-0.10869049444044931,-0.1590810661431643
Dongsi,Tiantan,4.8564234,0.9624952369324933,0.5007264398530115,0.4410516042113137,0.1894031134290612
Dongsi,Wanliu,12.819843,0.9401397070087852,0.3451662709144928,-0.01548628048648136,-0.08358103026901338
Dongsi,Wanshouxigong,7.9308887,0.9488306281153077,0.4810669081784046,0.4078502127687856,0.1334559173451571
Guanyuan,Gucheng,13.322119,0.9344913738770967,0.3265548772274273,0.06431166192549335,-0.016972467483757366
Guanyuan,Huairou,50.715973,0.8682375432501266,0.15646880371067431,-0.4316508269188143,-0.18377092822752358
Guanyuan,Nongzhanguan,10.440232,0.9543939745552312,0.4072031821286951,0.21611527340726797,0.002842542116764023
Guanyuan,Shunyi,34.76612,0.895900871998613,0.22777329011748998,-0.2788198000233975,-0.17054031722159535
Guanyuan,Tiantan,7.5166388,0.9613134538654845,0.41279910401609865,0.30858788167467666,0.03912843474790346
Guanyuan,Wanliu,7.824861,0.9591466774092204,0.4559121862970121,0.2647990495454282,0.14479731208005678
Guanyuan,Wanshouxigong,5.7785316,0.9544092192691462,0.4642726214898446,0.37108140784721294,0.11434185449142394
Gucheng,Huairou,59.534615,0.8634130001853378,0.1913404219664351,-0.0960409263066335,0.002856647833814188
Gucheng,Nongzhanguan,23.75798,0.9043368756972505,0.23691663400716406,-0.26102398134446597,-0.1648925642049818
Gucheng,Shunyi,46.57851,0.8697141234876314,0.20852377276818476,-0.1939077375512232,-0.06755176252608
Gucheng,Tiantan,19.275356,0.9142910102572049,0.23994154111239802,-0.18546291327962997,-0.1353321865566812
Gucheng,Wanliu,11.95705,0.9393313833967902,0.36810333987483224,0.2711278905967559,0.11443572488773698
Gucheng,Wanshouxigong,14.880261,0.9158736455991326,0.2866902785984859,-0.020309167169290182,-0.0702099976800942
Huairou,Nongzhanguan,45.736267,0.8607180814610965,0.13822244494603464,-0.4000827627938024,-0.17750440491782735
Huairou,Shunyi,22.467339,0.9128006669434994,0.2300816728388495,0.31548617632983145,0.12485980607883822
Huairou,Tiantan,52.61881,0.8558943719491101,0.11631554800525232,-0.40107350771323175,-0.1840105547964002
Huairou,Wanliu,47.723022,0.8693306871642732,0.16658676967069538,-0.24723037998351902,-0.0841477163536444
Huairou,Wanshouxigong,55.270092,0.8464949976111651,0.1343318933059329,-0.47474533717854506,-0.18998662525907672
Nongzhanguan,Shunyi,26.817474,0.9025036748844573,0.26369745951234697,-0.038797633860644304,-0.08029405370208069
Nongzhanguan,Tiantan,7.3053765,0.9595855768055334,0.4587778215705891,0.4217099658302989,0.14315896907809783
Nongzhanguan,Wanliu,15.836813,0.9350829607657978,0.3092115851520388,-0.08355062003914486,-0.10333334449425431
Nongzhanguan,Wanshouxigong,11.378752,0.943333722628764,0.4175204930709384,0.33806985644405546,0.042375350363504954
Shunyi,Tiantan,34.121708,0.8947354092797979,0.23946697101873846,-0.14548286898861298,-0.10302886301233627
Shunyi,Wanliu,34.97541,0.8841907415881415,0.21568939902498846,-0.2780172778585677,-0.11235286878998824
Shunyi,Wanshouxigong,37.850967,0.8812124938452413,0.24109266018471326,-0.19854410424797964,-0.13266555697660934
Tiantan,Wanliu,15.191383,0.9377484435613493,0.293989537582581,-0.0389278135504686,-0.09385291140374444
Tiantan,Wanshouxigong,4.776389,0.960800181065495,0.5225860041264906,0.5175885536888652,0.2591921554460189
Wanliu,Wanshouxigong,13.327091,0.9306529229170359,0.3269926662801104,0.019038328286248494,-0.06276667654795334
