horizon_hours,pm_bin,points,mae
3,"[0,35)",231513,6.566062927246094
3,"[35,75)",200398,9.513392448425293
3,"[75,115)",61588,15.530733108520508
3,"[115,150)",18732,22.74388313293457
3,"[150,250)",13805,32.842628479003906
3,"[250,inf)",2704,76.83383178710938
6,"[0,35)",231527,9.363536834716797
6,"[35,75)",200429,12.025282859802246
6,"[75,115)",61606,20.25835609436035
6,"[115,150)",18725,30.939775466918945
6,"[150,250)",13771,46.26771926879883
6,"[250,inf)",2682,110.89170837402344
12,"[0,35)",231556,11.390604972839355
12,"[35,75)",200468,13.457845687866211
12,"[75,115)",61611,23.600337982177734
12,"[115,150)",18731,37.67570495605469
12,"[150,250)",13723,59.290096282958984
12,"[250,inf)",2650,143.12228393554688
24,"[0,35)",231612,13.264545440673828
24,"[35,75)",200540,14.135100364685059
24,"[75,115)",61629,25.132986068725586
24,"[115,150)",18685,42.19436264038086
24,"[150,250)",13621,68.85206604003906
24,"[250,inf)",2652,164.20936584472656
36,"[0,35)",231689,14.482120513916016
36,"[35,75)",200676,15.172870635986328
36,"[75,115)",61616,26.840885162353516
36,"[115,150)",18599,45.64424514770508
36,"[150,250)",13530,75.389404296875
36,"[250,inf)",2630,177.0884552001953
48,"[0,35)",231700,14.505414962768555
48,"[35,75)",200671,15.52174186706543
48,"[75,115)",61645,27.172090530395508
48,"[115,150)",18562,46.40829849243164
48,"[150,250)",13489,77.34841918945312
48,"[250,inf)",2675,179.21961975097656
72,"[0,35)",231317,15.120115280151367
72,"[35,75)",200750,16.187747955322266
72,"[75,115)",61832,27.709230422973633
72,"[115,150)",18585,47.57756805419922
72,"[150,250)",13531,81.67960357666016
72,"[250,inf)",2727,185.96192932128906
