horizon_hours,points,mae,event_phase
3,478459,8.337072372436523,normal
3,11335,39.804264068603516,onset
3,27828,24.10944175720215,continuation
3,11378,32.308807373046875,decay
6,473324,10.961523056030273,normal
6,16470,49.21021270751953,onset
6,22630,33.418487548828125,continuation
6,16576,35.97600173950195,decay
12,469171,12.869335174560547,normal
12,20623,56.50574493408203,onset
12,18389,43.938140869140625,continuation
12,20817,33.14780044555664,decay
24,465585,14.241313934326172,normal
24,24209,61.45620346069336,onset
24,14679,51.60723114013672,continuation
24,24527,30.752792358398438,decay
36,461810,15.539100646972656,normal
36,27984,65.43961334228516,onset
36,10716,56.520721435546875,continuation
36,28490,27.7152099609375,decay
48,461070,15.745351791381836,normal
48,28724,66.39302062988281,onset
48,9980,57.07453536987305,continuation
48,29226,27.807857513427734,decay
72,459571,16.386804580688477,normal
72,30223,69.57967376708984,onset
72,8663,55.85695266723633,continuation
72,30543,27.989587783813477,decay
