year,diagnostic,lead_hour,median_r,q25_r,q75_r,stations
2015,pm_last_persistence,3,0.8709603922451374,0.8459305629741376,0.8927043844969953,184
2015,future_ventilation_vs_pm,3,-0.24934787961606877,-0.29910105897743955,-0.19308750451421938,184
2015,pm_last_persistence,24,0.3993911443021417,0.33074065390175494,0.4633418209244756,184
2015,future_ventilation_vs_pm,24,-0.25019590906321176,-0.2993579283146235,-0.19305542619014432,184
2015,pm_last_persistence,48,0.16082352674586348,0.10460860688578547,0.24427052569483565,184
2015,future_ventilation_vs_pm,48,-0.25219179672484526,-0.3008118444877412,-0.19396119117029553,184
2015,pm_last_persistence,72,0.05373145384765894,0.0019814191798821277,0.12432981859477173,184
2015,future_ventilation_vs_pm,72,-0.2546115201471536,-0.30189105113593706,-0.19495119892769222,184
2016,pm_last_persistence,3,0.8652888478158001,0.8370419683410384,0.8867372844487691,184
2016,future_ventilation_vs_pm,3,-0.2861981618434789,-0.32814097980435,-0.2084207686317145,184
2016,pm_last_persistence,24,0.3792561896431381,0.3322600173179517,0.45357824808573943,184
2016,future_ventilation_vs_pm,24,-0.2870959359764706,-0.328949865392686,-0.20947027558784045,184
2016,pm_last_persistence,48,0.15092516442318948,0.09935283384103383,0.2382225912354263,184
2016,future_ventilation_vs_pm,48,-0.2869353138769339,-0.3288127487381075,-0.21137193965096596,184
2016,pm_last_persistence,72,0.07674701936079456,0.024642230162177845,0.14172642400139848,184
2016,future_ventilation_vs_pm,72,-0.28751182177934786,-0.3299071225966632,-0.2116983942369816,184
2017,pm_last_persistence,3,0.8629865115008919,0.8355620439281204,0.8882819474628115,184
2017,future_ventilation_vs_pm,3,-0.24801848251040234,-0.2951724662916031,-0.18467072407777207,184
2017,pm_last_persistence,24,0.3317123943895602,0.28123929149201554,0.41369387771351035,184
2017,future_ventilation_vs_pm,24,-0.24629720230383648,-0.2923748979129139,-0.18197655804515916,184
2017,pm_last_persistence,48,0.1011828949983703,0.05619378239382804,0.17654022587455315,184
2017,future_ventilation_vs_pm,48,-0.24638096591192,-0.2924962600292318,-0.1826159403616014,184
2017,pm_last_persistence,72,0.036223205175508644,-0.010669620842345934,0.08637971744043269,184
2017,future_ventilation_vs_pm,72,-0.24715915144124678,-0.2958899169805143,-0.18787414552677892,184
2018,pm_last_persistence,3,0.8699242424510454,0.8426612976075729,0.8895289060452045,184
2018,future_ventilation_vs_pm,3,-0.25677024481439464,-0.3293375774095935,-0.19742756019576257,184
2018,pm_last_persistence,24,0.40055471137415033,0.3502723431797607,0.44203856871128394,184
2018,future_ventilation_vs_pm,24,-0.25542892728517097,-0.32978696810983976,-0.19644600229787348,184
2018,pm_last_persistence,48,0.19962982510377,0.15083584680938839,0.24404757892533285,184
2018,future_ventilation_vs_pm,48,-0.25505328091364327,-0.3294525222456448,-0.19613877544591465,184
2018,pm_last_persistence,72,0.09412323731250671,0.06261841306734993,0.1339428042552098,184
2018,future_ventilation_vs_pm,72,-0.2554458167045235,-0.32691874469463555,-0.19469982221290622,184
