dataset,pollutant,horizon_h,level_rho_median_node,native_change_rho_median_node,current_pollutant_vs_future_pm_change_rho_median_node,partial_current_pm_rho_median_node
UCI-Beijing,PM10,6,0.8873371332396593,0.6213875075105071,-0.1875538286380399,-0.014369375947030558
UCI-Beijing,PM10,24,0.8873371332396593,0.6213875075105071,-0.35908346498956634,-0.00527102294817438
UCI-Beijing,SO2,6,0.4885137710340675,0.2752991266108191,-0.028327236266752785,0.09738944862361874
UCI-Beijing,SO2,24,0.4885137710340675,0.2752991266108191,-0.10491119823335723,0.12328930933757543
UCI-Beijing,NO2,6,0.6752537568283973,0.39100750605403806,-0.10528063648068553,0.04003664915186128
UCI-Beijing,NO2,24,0.6752537568283973,0.39100750605403806,-0.18776438885705776,0.13330696345836163
UCI-Beijing,CO,6,0.8383622340090193,0.5027180858000398,-0.1668257421584225,0.011071454498867584
UCI-Beijing,CO,24,0.8383622340090193,0.5027180858000398,-0.31027524402535456,0.059613773936334796
UCI-Beijing,O3,6,-0.25942352008090286,-0.11831625149737252,0.08660448777051757,0.03238758842611858
UCI-Beijing,O3,24,-0.25942352008090286,-0.11831625149737252,0.05502993548103721,-0.06146430158103995
KDD-Beijing,PM10,6,0.8480288687400624,0.48549301166810804,-0.20048305431960822,-0.0964893970710146
KDD-Beijing,PM10,24,0.8480288687400624,0.48549301166810804,-0.3585662937492299,-0.09304137091615594
KDD-Beijing,SO2,6,0.5119094809299074,0.26217609216679016,-0.057631143655871166,0.04971378829827779
KDD-Beijing,SO2,24,0.5119094809299074,0.26217609216679016,-0.15274833486055017,0.04779425573451578
KDD-Beijing,NO2,6,0.6609107117288895,0.3371839758783807,-0.1064791585214521,0.027112017479373644
KDD-Beijing,NO2,24,0.6609107117288895,0.3371839758783807,-0.21745546978849847,0.07116613358958046
KDD-Beijing,CO,6,0.7992467662433642,0.4536741664726849,-0.1645947062782638,-0.021933455359537543
KDD-Beijing,CO,24,0.7992467662433642,0.4536741664726849,-0.34729069358227693,-0.03793138158567054
KDD-Beijing,O3,6,-0.23581450831150705,-0.15272787142812305,0.09099167288050662,0.04537941723880226
KDD-Beijing,O3,24,-0.23581450831150705,-0.15272787142812305,0.08179653832749549,-0.021685708763365886
AirQualityBench,PM10,6,0.8468840004115942,0.7137831131530767,-0.34998806671370863,0.006388612470921499
AirQualityBench,PM10,24,0.8468840004115942,0.7137831131530767,-0.3581729258265889,0.011943145428091382
AirQualityBench,SO2,6,0.15644424044442168,0.11671957677489245,-0.04900417817283032,0.0024804723891214578
AirQualityBench,SO2,24,0.15644424044442168,0.11671957677489245,-0.05449174132348114,0.00029645425696880044
AirQualityBench,NO2,6,0.39806988539758936,0.3276393914969251,-0.20750519931726763,-0.04154803463587489
AirQualityBench,NO2,24,0.39806988539758936,0.3276393914969251,-0.1512023328802961,0.035494769444323435
AirQualityBench,CO,6,0.3958755021881562,0.3007148775131271,-0.19627355133459648,-0.042245246759549424
AirQualityBench,CO,24,0.3958755021881562,0.3007148775131271,-0.1643851984037435,0.016832198084339653
AirQualityBench,O3,6,-0.08319993392922688,-0.19576140738714404,0.12504198943295017,0.09390534619178174
AirQualityBench,O3,24,-0.08319993392922688,-0.19576140738714404,0.04932029804400021,0.021629613581805963
