dataset,source,target,lag_h,aligned_n,opposed_n,aligned_rho,opposed_rho,aligned_minus_opposed
KnowAir,110,16,0,2814,5141,0.2574724181641026,0.23678958363960487,0.020682834524497734
KnowAir,110,16,3,2814,5141,0.30256375729724794,0.041476094786661054,0.2610876625105869
KnowAir,110,16,6,2814,5141,0.11209698082906155,-0.06321780360804548,0.17531478443710702
KnowAir,110,16,12,2814,5141,-0.043357024971193765,-0.03492175425139562,-0.008435270719798146
KnowAir,141,142,0,2509,5445,0.12603515006672492,0.29415612338068453,-0.16812097331395962
KnowAir,141,142,3,2509,5444,0.27225127898355544,0.23477660004443704,0.037474678939118405
KnowAir,141,142,6,2509,5443,-0.03279904858348799,-0.05672163623426435,0.02392258765077636
KnowAir,141,142,12,2509,5441,0.042786928930338794,0.050775631128826625,-0.00798870219848783
KnowAir,141,140,0,3810,5131,0.17991680798668355,0.3290599666832687,-0.14914315869658515
KnowAir,141,140,3,3810,5130,0.13642895981349334,0.10882812384142762,0.027600835972065724
KnowAir,141,140,6,3810,5129,-0.08136938253673438,-0.16810992082646473,0.08674053828973034
KnowAir,141,140,12,3810,5127,0.0901680616652854,0.07304762216627637,0.01712043949900903
KnowAir,78,146,0,3665,4496,0.39012902569127467,0.24971921986964368,0.14040980582163098
KnowAir,78,146,3,3665,4496,0.07759452512056167,-0.02542752775759935,0.10302205287816102
KnowAir,78,146,6,3664,4496,-0.10839640023766257,-0.06440011288682648,-0.04399628735083609
KnowAir,78,146,12,3662,4496,-0.0036010034129919217,-0.05171866979674928,0.048117666383757356
KnowAir,85,171,0,5622,2099,0.2632518199228699,0.3159442359936812,-0.05269241607081132
KnowAir,85,171,3,5621,2099,0.12537410489417472,0.1316774771848897,-0.006303372290714981
KnowAir,85,171,6,5620,2099,0.020045067209058565,-0.14294239133818304,0.16298745854724161
KnowAir,85,171,12,5618,2099,0.08998370027621351,0.018427067500749655,0.07155663277546385
KnowAir,104,106,0,3928,2187,0.2854226354832909,0.23749688988670714,0.047925745596583746
KnowAir,104,106,3,3927,2187,-0.025097809216186658,0.013959035767941592,-0.03905684498412825
KnowAir,104,106,6,3926,2187,-0.06034961161326326,-0.031090634292743436,-0.02925897732051982
KnowAir,104,106,12,3924,2187,0.10666295722712373,0.10099475735939599,0.005668199867727736
KnowAir,41,98,0,4816,4006,0.3111819338554041,0.44867023909596226,-0.13748830524055816
KnowAir,41,98,3,4816,4005,0.08932210199259154,-0.019418330149892082,0.10874043214248362
KnowAir,41,98,6,4816,4004,-0.02077666303575804,-0.12027520385144452,0.09949854081568649
KnowAir,41,98,12,4816,4002,-0.02407788654709974,-0.056110664344301994,0.032032777797202254
KnowAir,60,105,0,4399,3055,0.3379911236007369,0.39572941110761584,-0.05773828750687893
KnowAir,60,105,3,4399,3055,0.08867140175701849,0.07613711497291252,0.012534286784105966
KnowAir,60,105,6,4399,3055,-0.07396388287216317,-0.05572252180916665,-0.018241361062996522
KnowAir,60,105,12,4399,3055,0.03781049558436275,0.005863572612775525,0.03194692297158723
KnowAir,29,54,0,4271,3170,0.3350530545631106,0.21714498017225514,0.11790807439085543
KnowAir,29,54,3,4271,3169,0.22013131305281045,0.015172559705761555,0.20495875334704888
KnowAir,29,54,6,4271,3168,0.07005005089412701,-0.022239179461611046,0.09228923035573805
KnowAir,29,54,12,4271,3167,-0.054684490109193074,-0.05159036168704949,-0.0030941284221435855
