feature,station_index,station,longitude,latitude,lead_hour,r,first_lead_below_r_0.5
temperature,0,Beijing,116.39824999999998,40.045975000000006,3,0.9151895039017194,
temperature,1,Tianjin,117.32216666666666,39.07768333333333,3,0.9330778556858933,
temperature,2,Shijiazhuang,114.49317142857144,38.033628571428565,3,0.9183140885468104,
temperature,3,Tangshan,118.18291666666666,39.64495333333334,3,0.9260397484356084,
temperature,4,Qinhuangdao,119.606875,39.936249999999994,3,0.9466679744105281,
temperature,5,Handan,114.51387499999998,36.607859999999995,3,0.9221881037771112,
temperature,6,Baoding,115.4852,38.876266666666666,3,0.9232755168980411,
temperature,7,Zhangjiakou,114.90084999999999,40.80275,3,0.9309583200555432,
temperature,8,Chengde,117.92774,40.96416,3,0.925329761504365,
temperature,9,Langfang,116.7151,39.52605,3,0.9211829423293213,
temperature,10,Cangzhou,116.87156666666668,38.31576666666667,3,0.9318881096487062,
temperature,11,Hengshui,115.6761,37.744800000000005,3,0.9310998419330043,
temperature,12,Xingtai,114.506675,37.0771,3,0.9155243925384118,
temperature,13,Taiyuan,112.50899999999999,37.8489,3,0.9208940968675762,
temperature,14,Huhehaote,111.66738571428571,40.80768571428571,3,0.9450741576048989,
temperature,15,Dalian,121.62808148888888,38.95904567888889,3,0.9690360059074288,
temperature,16,Shanghai,121.45294433333333,31.210789000000002,3,0.9360817940523742,
temperature,17,Nanjing,118.77449999999999,32.0488,3,0.9301756812719887,
temperature,18,Suzhou,119.52117999999999,32.002930000000006,3,0.9299288884905167,
temperature,19,Nantong,120.8786,31.99044,3,0.9327030294254097,
temperature,20,Lianyungang,119.176,34.5885,3,0.9263326503305169,
temperature,21,Xuzhou,117.23046000000002,34.260400000000004,3,0.9300899623749529,
temperature,22,Yangzhou,119.3965,32.39305,3,0.9308766022624192,
temperature,23,Wuxi,120.28957142857143,31.570185714285714,3,0.9486018041924249,
temperature,24,Changzhou,119.94533333333334,31.7911,3,0.9335115429839239,
temperature,25,Zhenjiang,119.53366666666666,32.1784,3,0.9310266650015698,
temperature,26,Taizhou,120.62981666666667,30.54818333333333,3,0.9381279460596246,
temperature,27,Huaian,119.03584000000001,33.58214,3,0.935513251711377,
temperature,28,Yancheng,120.16633333333334,33.39703333333333,3,0.9257231541006762,
temperature,29,Suqian,118.3072,33.9517,3,0.9322276571900031,
temperature,30,Hangzhou,120.0819090909091,30.21117272727272,3,0.9251372429001868,
temperature,31,Ningbo,121.62942857142858,29.866699999999998,3,0.9464016770472357,
temperature,32,Shaoxing,120.605,29.9919,3,0.9264954667580066,
temperature,33,Huzhou,120.07,30.8244,3,0.9273243306953656,
temperature,34,Jiaxing,120.735,30.7712,3,0.931733849733667,
temperature,35,Jinhua,119.66650000000001,29.08995,3,0.9287902976582855,
temperature,36,Quzhou,118.86566666666668,28.960433333333338,3,0.9317869145053258,
temperature,37,Lishui,119.90766666666666,28.444366666666667,3,0.9283314477016141,
temperature,38,Hefei,117.24780000000001,31.848240000000004,3,0.9333512126780058,
temperature,39,Nanchang,115.873075,28.702825,3,0.9305179326937807,
temperature,40,Jinan,117.00885,36.6576,3,0.9391181617396548,
temperature,41,Qingdao,120.36067142857142,36.14881428571428,3,0.9575460691059923,
temperature,42,Zhengzhou,113.66537142857143,34.760628571428576,3,0.9312057838128688,
temperature,43,Wuhan,114.2870125,30.5767625,3,0.936048718555705,
temperature,44,Zhangsha,112.98362999999999,28.205220000000004,3,0.9362728576592632,
temperature,45,Zhongqing,106.50192307692306,29.617815384615387,3,0.9250906603323868,
temperature,46,Chengdou,104.002,30.715500000000002,3,0.9141038254445549,
temperature,47,Xian,108.99450909090909,34.30269090909091,3,0.9138161165925183,
temperature,48,Lanzhou,103.86275,36.0405,3,0.9141122214794316,
temperature,49,Yinchuan,106.1066,38.53423333333333,3,0.9366780538441246,
temperature,50,Baotou,109.90826666666668,40.627783333333326,3,0.9421308828679157,
temperature,51,Eerduosi,109.90195999999999,39.72498,3,0.9452556438879097,
temperature,52,Huludao,120.864825,40.7384,3,0.9581227494178306,
temperature,53,Laiwu,117.6789,36.2289,3,0.9350725018050955,
temperature,54,Linyi,118.3286,35.04769999999999,3,0.9289277042298824,
temperature,55,Liaocheng,115.98415,36.4584,3,0.9331531281438025,
temperature,56,Binzhou,117.9952,37.37833333333333,3,0.9306367572070654,
temperature,57,Zibo,118.02022000000002,36.75354,3,0.9356207658960115,
temperature,58,Zaozhuang,117.51355000000001,34.806025,3,0.9314313234281593,
temperature,59,Yantai,121.36026666666667,37.5074,3,0.9448285148969995,
temperature,60,Weifang,119.15213333333332,36.72526666666667,3,0.9309476770553912,
temperature,61,Jining,116.59023333333333,35.41543333333333,3,0.934052189525183,
temperature,62,Taian,117.11326666666666,36.188066666666664,3,0.9334995148358889,
temperature,63,Rizhao,119.49195,35.4206,3,0.9540064838132214,
temperature,64,Dongying,118.5019,37.4658,3,0.9286690879332702,
temperature,65,Heze,115.45083066666666,35.25212966666667,3,0.932527083909187,
temperature,66,Datong,113.31258,40.097699999999996,3,0.9323326675678685,
temperature,67,Zhangzhi,113.0949861,36.18655,3,0.9091003541451734,
temperature,68,Linfen,111.518825,36.07985,3,0.9146347765713606,
temperature,69,Yangquan,113.56226666666667,37.860699999999994,3,0.916472714668707,
temperature,70,Jinzhou,121.1185,41.05882,3,0.9492576578009145,
temperature,71,Wuhu,118.37395000000001,31.36785,3,0.9284354637644009,
temperature,72,Maanshan,118.52462,31.69678,3,0.9311556908278095,
temperature,73,Jiujiang,115.98975714285714,29.673300000000005,3,0.9340010371314312,
temperature,74,Luoyang,112.41968333333334,34.65716666666667,3,0.9134528355859595,
temperature,75,Anyang,114.37566666666665,36.086,3,0.9243401179734604,
temperature,76,Kaifeng,114.3336,34.79076666666667,3,0.9325311836434049,
