feature,season,lead_hour,median,q25,q75,stations
temperature,DJF,3,0.92791454481536,0.9169184818058831,0.9361705641810727,184
temperature,DJF,24,0.687073663200831,0.6413024929986285,0.7282270238871746,184
temperature,DJF,48,0.44455988602655616,0.3682111863080449,0.5073216456065028,184
temperature,DJF,72,0.2860113825074806,0.22790303046451318,0.35163067295136125,184
temperature,MAM,3,0.9331201031719714,0.9255925182173952,0.9420265370250238,184
temperature,MAM,24,0.6204754008073402,0.603988382172111,0.6335686868349337,184
temperature,MAM,48,0.3250574908495605,0.3022603423761846,0.3465168291137422,184
temperature,MAM,72,0.14405625296334107,0.1250861303887722,0.17569394803178823,184
temperature,JJA,3,0.9257823322464633,0.9092220332881857,0.9344219326435762,184
temperature,JJA,24,0.6396266180951713,0.5782716420566025,0.6922657793953187,184
temperature,JJA,48,0.39523900101201576,0.3411153723218163,0.45982492301705924,184
temperature,JJA,72,0.2911112003117582,0.2369836057569742,0.35394214976293437,184
temperature,SON,3,0.9278027936547186,0.920393706357276,0.9352980206189919,184
temperature,SON,24,0.6872323669943265,0.6620469625680092,0.7097504545112292,184
temperature,SON,48,0.4111449785499238,0.38444001475287737,0.4480990066698046,184
temperature,SON,72,0.2314156235616082,0.20246808330478822,0.2694425190314018,184
pressure,DJF,3,0.9869103705692919,0.9847804019352071,0.9884269852988776,184
pressure,DJF,24,0.6109741169945794,0.5469519417880806,0.6628326014322665,184
pressure,DJF,48,0.2782488133325916,0.23120541306270045,0.33358176187709554,184
pressure,DJF,72,0.15783756757340434,0.13598977761909356,0.17177935170771919,184
pressure,MAM,3,0.9845028628225121,0.9834969710076956,0.985713657119702,184
pressure,MAM,24,0.5934242357262237,0.5575634382525541,0.6277831995973349,184
pressure,MAM,48,0.20761533268517757,0.14628086589122813,0.24609126581752133,184
pressure,MAM,72,0.01317856317017891,-0.02918490894885423,0.04985292935793795,184
pressure,JJA,3,0.9857336108692949,0.9831308688718648,0.9865995545501824,184
pressure,JJA,24,0.7224554444953838,0.6911131604299622,0.752805842347948,184
pressure,JJA,48,0.4076029091386342,0.33800530296885095,0.46915911551826994,184
pressure,JJA,72,0.2646851603700119,0.17996624025290386,0.3158592401633916,184
pressure,SON,3,0.9860324651689812,0.984784349860446,0.9869627558060355,184
pressure,SON,24,0.6352505778349279,0.5864513793446959,0.6826185219994062,184
pressure,SON,48,0.24477389825005452,0.2029706082996207,0.3156101657709712,184
pressure,SON,72,0.02392643846560457,-0.005250010488181465,0.0960531120120186,184
rh950,DJF,3,0.9395562981099126,0.9256636872359401,0.9564084994453644,184
rh950,DJF,24,0.49611886304720415,0.42025942116328185,0.5826108565517296,184
rh950,DJF,48,0.2163210254749779,0.1436254874999349,0.27897180165496105,184
rh950,DJF,72,0.08241946814997239,0.034769192760989186,0.11986818045206965,184
rh950,MAM,3,0.9248439287095527,0.9159567303918665,0.938509832080432,184
rh950,MAM,24,0.4319051371980638,0.3614887368900752,0.4788857862719252,184
rh950,MAM,48,0.12702451850628488,0.0871196734058649,0.1681552253201765,184
rh950,MAM,72,0.050831712404539264,0.010514663764254141,0.08785689606072217,184
rh950,JJA,3,0.9206256767360435,0.9099845039820029,0.9308867751109728,184
rh950,JJA,24,0.5414274032933031,0.49846689005159506,0.5714759924233148,184
rh950,JJA,48,0.3098405514763336,0.25109693175160624,0.3518999543304073,184
rh950,JJA,72,0.20022057614212097,0.15330807819552988,0.24436412091259543,184
rh950,SON,3,0.9378270637101183,0.9225270425399014,0.9536175673932749,184
rh950,SON,24,0.5755109903245537,0.5118195937534038,0.6516879939395923,184
rh950,SON,48,0.3639444576845175,0.28081200547686724,0.4577420487817728,184
rh950,SON,72,0.27608282867192435,0.18150729906347285,0.3601790703178362,184
wind_speed,DJF,3,0.8317804502570936,0.8030612051253251,0.8563194106792125,184
wind_speed,DJF,24,0.17142581706255394,0.12270859364914508,0.20246635659087095,184
wind_speed,DJF,48,0.026585800752685792,-0.002819329547366296,0.04943273755081008,184
wind_speed,DJF,72,-0.03903435763470696,-0.05738958765689352,-0.014244252881226105,184
wind_speed,MAM,3,0.7916960585994857,0.7476812072288228,0.81769788038051,184
wind_speed,MAM,24,0.13955503136133396,0.08984920473820877,0.17388542448766056,184
wind_speed,MAM,48,-0.010126347960181229,-0.030731517858552757,0.018503456833191774,184
wind_speed,MAM,72,-0.020850503305926853,-0.040545516942685,-0.006087460557532465,184
wind_speed,JJA,3,0.808501522937237,0.7470154984277891,0.8468618145487741,184
wind_speed,JJA,24,0.3357515459738162,0.21045718547777606,0.4167501080345123,184
wind_speed,JJA,48,0.10237322134906873,0.0675005297160356,0.1475084914002549,184
wind_speed,JJA,72,0.04614922721778457,0.013215367372785981,0.0763659934022107,184
wind_speed,SON,3,0.8386475448363818,0.8073089224861094,0.8583819851314093,184
wind_speed,SON,24,0.2021465995112993,0.13543320935583852,0.26712217700567975,184
wind_speed,SON,48,0.02046211858286833,-0.014538109511247217,0.05805898952896746,184
wind_speed,SON,72,-0.014044777994260989,-0.05299991070252514,0.020311788816539444,184
wind_u,DJF,3,0.9094499491861265,0.8786019708455819,0.9302918349007301,184
wind_u,DJF,24,0.2629496519087333,0.18831370380360524,0.2939038071158142,184
wind_u,DJF,48,0.00572904839356382,-0.022119063295512987,0.045270737222710716,184
wind_u,DJF,72,-0.06776393188206233,-0.10286507595999456,-0.02128831863117393,184
wind_u,MAM,3,0.87799115212743,0.8429954612947146,0.9069068873532268,184
wind_u,MAM,24,0.22911230684036996,0.168947159193387,0.28390420488987583,184
wind_u,MAM,48,-0.020755227600076122,-0.05480251166586603,0.014183155969071576,184
wind_u,MAM,72,-0.07362295362278543,-0.10824953939956652,-0.03044097154720203,184
wind_u,JJA,3,0.8588911772144174,0.8151723109750632,0.9012999671331333,184
wind_u,JJA,24,0.37466672363135334,0.29448252175055556,0.4828242433176805,184
wind_u,JJA,48,0.16114127295099823,0.07996188281351804,0.20715251360297984,184
wind_u,JJA,72,0.07251288844870091,0.0306270198336479,0.11210894061515805,184
wind_u,SON,3,0.8984629897479124,0.860971835168883,0.9191548452783185,184
