feature,future_day,raw_median,raw_q25,raw_q75,raw_stations,partial_median,partial_q25,partial_q75,partial_stations
temperature,1,0.41421234450767364,0.3943462698715364,0.43264732486077245,184,0.2359578725869486,0.20223050584332797,0.2677998656697841,184
temperature,2,0.2668695783878793,0.24234568455257274,0.28861780113472635,184,0.12627081619736144,0.09062599814579854,0.1546893089506399,184
temperature,3,0.16355450128955268,0.1485339977243505,0.18007191401373787,184,0.07567760289530212,0.05272752585991767,0.09735330472130967,184
pressure,1,0.4864131671265587,0.483224269334132,0.495530279614531,184,0.3203678412395352,0.30628634377756303,0.3429970393736507,184
pressure,2,0.24540926040924704,0.21793478856867868,0.28553921135325877,184,0.14167399154752344,0.1318303780133765,0.17519131027309204,184
pressure,3,0.13282409048785926,0.10420410910142855,0.16780611736145715,184,0.09848447938644411,0.08517953034590736,0.1254305228534463,184
rh950,1,0.37434386072333536,0.33908534222538583,0.408354870887108,184,0.1497916067688656,0.10582901883705861,0.19939383032365682,184
rh950,2,0.1448622921328892,0.11280126151743441,0.19007767722724705,184,0.014112601068737005,-0.016791909165314742,0.06898063752058542,184
rh950,3,0.06690745250242741,0.045025111760221094,0.09494924018476368,184,-0.014331897027940747,-0.034892213275657294,0.01652711682316306,184
wind_speed,1,0.27724508486547583,0.23843235419249148,0.3243935580108515,184,0.09588835923985187,0.06580590599194534,0.11975914607932572,184
wind_speed,2,0.0658381910935886,0.03771134135778311,0.10673910853578313,184,0.044911877442575215,0.015817762221037035,0.06747665146659368,184
wind_speed,3,-0.0006801655337069284,-0.012919103431709203,0.015547359714796143,184,0.013087458915464104,-0.007408046214421148,0.03000813387333029,184
wind_u,1,0.35670722769162155,0.3070726933567922,0.37916120755772836,184,0.1593122795759102,0.1232719293131249,0.18887088545711983,184
wind_u,2,0.09257380628833037,0.0621163514115624,0.11659503895674106,184,0.06558113439883112,0.03098441474481618,0.09482126624138416,184
wind_u,3,0.0055590707938664476,-0.010246454377360296,0.020334335455430046,184,0.019662412084136813,0.0005161363146412713,0.04340175630490699,184
wind_v,1,0.3448578535567328,0.28371064657065864,0.3703091874248382,184,0.1739980081218292,0.12729133356445793,0.18479340515286588,184
wind_v,2,0.03870200827958146,0.015637160355406625,0.0684060612925885,184,0.04567328772016142,0.027037408373008134,0.06395748199516002,184
wind_v,3,0.010609230505064918,-0.007133894045130443,0.028619350830109486,184,0.03017181078435751,0.012354638481218701,0.04899464590322731,184
pbl,1,0.26606800693918253,0.2178193338293755,0.3148883973472268,184,0.05009352664647786,-0.00659748000573494,0.0955558108038484,184
pbl,2,0.08310377777386067,0.06144756254919893,0.11001068668246816,184,-0.0015649122749970253,-0.03946565585464991,0.044684880154067394,184
pbl,3,0.029095367520182335,0.012983467981407705,0.0424455749113932,184,-0.014649225618717596,-0.04231419475234188,0.023793974942753513,184
ventilation,1,0.264525377425589,0.22294375774958905,0.34369751710158225,184,0.0832133314671432,0.05316045728459711,0.13877134659319088,184
ventilation,2,0.07273845710875204,0.04377047868358715,0.1168215606799926,184,0.045855597659402156,0.006927066895195675,0.07378937426745116,184
ventilation,3,0.014184113614177015,0.00408816361623218,0.023982644601699625,184,0.02339921314611549,0.0022834656389130858,0.03677235327683856,184
dewpoint_deficit,1,0.3488849848729868,0.33037603334134136,0.3764122020043549,184,0.11434718844353539,0.08666112080006465,0.15562230037659291,184
dewpoint_deficit,2,0.13603164453281996,0.1186067632640701,0.16274065440946406,184,-0.007702071132405655,-0.03444802184914241,0.02651169565181777,184
dewpoint_deficit,3,0.06292517828226792,0.04900925470196859,0.07771752047545837,184,-0.034835185272322114,-0.05743553913729217,-0.013403411199346276,184
log_precipitation,1,0.19728819397486957,0.1703457064434769,0.22645124486043677,184,0.04718633957949393,0.031011570161811847,0.0700452138948141,184
log_precipitation,2,0.023079101684891527,0.0063647078935486455,0.04009560852194831,184,0.004708974585662303,-0.012129856512965592,0.028262269075599845,184
log_precipitation,3,-0.008563819197724514,-0.01994160751359681,0.0010908950711167316,184,-0.014363026427193254,-0.0353284807834502,0.0073637374500847294,184
