horizon_hours,pm_bin,points,mae
3,"[0,35)",231513,6.563169956207275
3,"[35,75)",200398,9.433545112609863
3,"[75,115)",61588,15.860099792480469
3,"[115,150)",18732,23.319841384887695
3,"[150,250)",13805,33.2320671081543
3,"[250,inf)",2704,73.21337890625
6,"[0,35)",231527,9.126692771911621
6,"[35,75)",200429,11.701522827148438
6,"[75,115)",61606,20.322586059570312
6,"[115,150)",18725,30.873632431030273
6,"[150,250)",13771,45.316741943359375
6,"[250,inf)",2682,105.15848541259766
12,"[0,35)",231556,10.645487785339355
12,"[35,75)",200468,12.747461318969727
12,"[75,115)",61611,22.724109649658203
12,"[115,150)",18731,35.48037338256836
12,"[150,250)",13723,53.42433166503906
12,"[250,inf)",2650,129.91819763183594
24,"[0,35)",231612,11.608850479125977
24,"[35,75)",200540,13.585614204406738
24,"[75,115)",61629,24.296218872070312
24,"[115,150)",18685,38.605133056640625
24,"[150,250)",13621,59.04588317871094
24,"[250,inf)",2652,141.9483642578125
36,"[0,35)",231689,12.08238697052002
36,"[35,75)",200676,14.244782447814941
36,"[75,115)",61616,25.290687561035156
36,"[115,150)",18599,40.36347961425781
36,"[150,250)",13530,62.068782806396484
36,"[250,inf)",2630,148.7456817626953
48,"[0,35)",231700,12.342035293579102
48,"[35,75)",200671,14.328546524047852
48,"[75,115)",61645,25.466917037963867
48,"[115,150)",18562,40.8848876953125
48,"[150,250)",13489,63.19155502319336
48,"[250,inf)",2675,150.76864624023438
72,"[0,35)",231317,12.904052734375
72,"[35,75)",200750,14.484541893005371
72,"[75,115)",61832,25.514984130859375
72,"[115,150)",18585,40.89520263671875
72,"[150,250)",13531,64.35883331298828
72,"[250,inf)",2727,155.0124969482422
