horizon_hours,points,mae,event_phase
3,478459,8.380770683288574,normal
3,11335,39.46815490722656,onset
3,27828,24.440881729125977,continuation
3,11378,30.876529693603516,decay
6,473324,10.823957443237305,normal
6,16470,47.63887405395508,onset
6,22630,32.67761993408203,continuation
6,16576,33.68385696411133,decay
12,469171,12.302197456359863,normal
12,20623,51.5472297668457,onset
12,18389,39.45066452026367,continuation
12,20817,29.53983497619629,decay
24,465585,13.456305503845215,normal
24,24209,53.436275482177734,onset
24,14679,45.37327575683594,continuation
24,24527,24.5047607421875,decay
36,461810,14.088345527648926,normal
36,27984,55.279972076416016,onset
36,10716,47.413265228271484,continuation
36,28490,22.818355560302734,decay
48,461070,14.360247611999512,normal
48,28724,55.45497131347656,onset
48,9980,50.231056213378906,continuation
48,29226,21.123348236083984,decay
72,459571,14.726337432861328,normal
72,30223,56.07592010498047,onset
72,8663,51.258235931396484,continuation
72,30543,20.64139175415039,decay
