horizon_hours,points,mae,season
3,124200,15.731576919555664,DJF
3,135424,10.291516304016113,MAM
3,135424,6.765087127685547,JJA
3,133952,9.144660949707031,SON
6,124200,20.817567825317383,DJF
6,135424,13.362125396728516,MAM
6,135424,8.792853355407715,JJA
6,133952,12.092632293701172,SON
12,124200,23.41603660583496,DJF
12,135424,15.078774452209473,MAM
12,135424,10.1837158203125,JJA
12,133952,13.780033111572266,SON
24,124200,25.096324920654297,DJF
24,135424,16.543577194213867,MAM
24,135424,10.918807983398438,JJA
24,133952,14.854022979736328,SON
36,124200,26.074478149414062,DJF
36,135424,17.307777404785156,MAM
36,135424,11.362456321716309,JJA
36,133952,15.603957176208496,SON
48,124200,26.221534729003906,DJF
48,135424,17.673444747924805,MAM
48,135424,11.566224098205566,JJA
48,133952,15.79787540435791,SON
72,124200,26.59204864501953,DJF
72,135424,18.162940979003906,MAM
72,135424,12.088212013244629,JJA
72,133952,15.958076477050781,SON
