lead_hour,median_station_mean_cosine_similarity,median_station_mean_angular_difference_deg
3,0.8422039890298298,23.139946852528723
6,0.6927169114415714,36.48352965690832
9,0.5891918589361472,45.046082336694795
12,0.5026915426388499,51.717466605412824
15,0.43021586730242356,57.373999311597146
18,0.37459232483765026,61.20566675827222
21,0.3556910107148037,62.82054937027255
24,0.3302210379602445,64.77434176308773
27,0.27645224072437136,69.21527157957178
30,0.21498362908053698,73.65267034151151
33,0.17685565846984744,76.6561563409518
36,0.1541611238905039,78.28390390396831
39,0.14438333549050353,79.16235469494649
42,0.14461933264847399,79.00670988644676
45,0.1595885640346396,77.69255174287036
48,0.16308995596983372,77.49053736093445
51,0.1430484940069059,79.01925369176018
54,0.11399138755153415,81.426438254335
57,0.09556630778744574,82.79199500045684
60,0.08515997959754068,83.49823409755885
63,0.08665347007622361,83.35660057085208
66,0.09616673398463876,82.76582099918508
69,0.12393618106139878,80.67537189493785
72,0.13649764821543253,79.4380916073834
