feature,past_hour,future_hour,separation_hours,raw_median_station_r,raw_q25_station_r,raw_q75_station_r,anomaly_median_station_r,anomaly_q25_station_r,anomaly_q75_station_r
temperature_c,-69,3,72,0.9069342829536013,0.897572053888041,0.9161144676562865,0.21083762895108096,0.19466828903221692,0.2352586670883626
temperature_c,-69,6,75,0.8788702183023129,0.8724507179567486,0.887638555318144,0.19234320384297376,0.1792000031017668,0.22052851449551716
temperature_c,-69,9,78,0.8264481808652404,0.8172222483272901,0.8367332351058397,0.17197744156141725,0.16180142646784906,0.2025008597566291
temperature_c,-69,12,81,0.7818792572045592,0.7684647159682507,0.7946408720687105,0.15291480434391813,0.14347923573685395,0.18753594748189084
temperature_c,-69,15,84,0.7641382534993577,0.7486611298072582,0.778292058504554,0.13865075385022047,0.12808023404328928,0.174505980273222
temperature_c,-69,18,87,0.7793143597161902,0.7645494285293251,0.792560260719318,0.1268843553116749,0.11766453288890488,0.16376956451142866
temperature_c,-69,21,90,0.8208704728121896,0.8109053626944269,0.8330972501493075,0.12106487687898299,0.11072062295840693,0.15547025185881427
temperature_c,-69,24,93,0.8711150808073327,0.8635061173245351,0.8810433785484253,0.11504595461589917,0.10377149070847536,0.14871298456614646
temperature_c,-69,27,96,0.897601556568737,0.8856214589026012,0.9085709144806401,0.11082331474787285,0.09837156775167902,0.1410663047977957
temperature_c,-69,30,99,0.8696500284811486,0.862479835311204,0.8797409080415058,0.10222555531658843,0.08884611504827819,0.1336565592695434
temperature_c,-69,33,102,0.817703967196121,0.8080582045935525,0.8294537599354552,0.09005854984431495,0.07599638969842334,0.12080820755658457
temperature_c,-69,36,105,0.7739736694307369,0.7601429927634696,0.7875406187503087,0.07926281884806984,0.06344365180388989,0.11205151219654355
temperature_c,-69,39,108,0.7568789224536597,0.7401750433411827,0.7718217877949622,0.06977268138649,0.053528569529872484,0.1019105842107819
temperature_c,-69,42,111,0.7720770635027845,0.7587241721225793,0.7863872568688545,0.0626439161401596,0.04881840502223249,0.09276733510995028
temperature_c,-69,45,114,0.8149397447952623,0.8038895455589892,0.8261790765446339,0.05910540333613676,0.04406597375503032,0.08435691100564663
temperature_c,-69,48,117,0.865478611414554,0.8575842982856917,0.8762455072108108,0.05585688219819979,0.041204016601133014,0.07845523952309869
temperature_c,-69,51,120,0.8918487832231341,0.8788723991158036,0.9035673185221728,0.05289466591742648,0.03616637854940055,0.0724254615276468
temperature_c,-69,54,123,0.8640736955044355,0.8561343997921951,0.8749990393148006,0.04680828465965488,0.028602395732586532,0.06479273818482106
temperature_c,-69,57,126,0.8121330917801162,0.8000817755698397,0.8243474636855718,0.0368875216013164,0.019608998333931045,0.055577721039027986
temperature_c,-69,60,129,0.7684462058135445,0.7518699677558676,0.7822666250454254,0.027201524702384947,0.010863197857714906,0.046160673718198104
temperature_c,-69,63,132,0.7511623420924587,0.733224863667044,0.7679103691424909,0.019671077365166337,0.0030914680479589562,0.03883218770260905
temperature_c,-69,66,135,0.7672317593963037,0.7500220377380021,0.7814212309905783,0.015723009250211528,-0.0011024593908775312,0.03216719431971091
temperature_c,-69,69,138,0.810296069772132,0.7973079668512055,0.8224617164720218,0.013502190050996569,-0.003796613387074625,0.027169797858581285
temperature_c,-69,72,141,0.8615190178068826,0.8515392035355267,0.8716462028347363,0.010880148590001908,-0.006038458823840909,0.02419021992434417
temperature_c,-66,3,69,0.8816230305731897,0.875430132824912,0.8894424118769244,0.22013517296567725,0.20298632777523878,0.24385539083625493
temperature_c,-66,6,72,0.9069342829536013,0.897572053888041,0.9161144676562865,0.21083762895108096,0.19466828903221692,0.2352586670883626
temperature_c,-66,9,75,0.8788702183023129,0.8724507179567486,0.887638555318144,0.19234320384297376,0.1792000031017668,0.22052851449551716
temperature_c,-66,12,78,0.8264481808652404,0.8172222483272901,0.8367332351058397,0.17197744156141725,0.16180142646784906,0.2025008597566291
temperature_c,-66,15,81,0.7818792572045592,0.7684647159682507,0.7946408720687105,0.15291480434391813,0.14347923573685395,0.18753594748189084
temperature_c,-66,18,84,0.7641382534993577,0.7486611298072582,0.778292058504554,0.13865075385022047,0.12808023404328928,0.174505980273222
temperature_c,-66,21,87,0.7793143597161902,0.7645494285293251,0.792560260719318,0.1268843553116749,0.11766453288890488,0.16376956451142866
temperature_c,-66,24,90,0.8208704728121896,0.8109053626944269,0.8330972501493075,0.12106487687898299,0.11072062295840693,0.15547025185881427
temperature_c,-66,27,93,0.8711150808073327,0.8635061173245351,0.8810433785484253,0.11504595461589917,0.10377149070847536,0.14871298456614646
temperature_c,-66,30,96,0.897601556568737,0.8856214589026012,0.9085709144806401,0.11082331474787285,0.09837156775167902,0.1410663047977957
temperature_c,-66,33,99,0.8696500284811486,0.862479835311204,0.8797409080415058,0.10222555531658843,0.08884611504827819,0.1336565592695434
temperature_c,-66,36,102,0.817703967196121,0.8080582045935525,0.8294537599354552,0.09005854984431495,0.07599638969842334,0.12080820755658457
temperature_c,-66,39,105,0.7739736694307369,0.7601429927634696,0.7875406187503087,0.07926281884806984,0.06344365180388989,0.11205151219654355
temperature_c,-66,42,108,0.7568789224536597,0.7401750433411827,0.7718217877949622,0.06977268138649,0.053528569529872484,0.1019105842107819
temperature_c,-66,45,111,0.7720770635027845,0.7587241721225793,0.7863872568688545,0.0626439161401596,0.04881840502223249,0.09276733510995028
temperature_c,-66,48,114,0.8149397447952623,0.8038895455589892,0.8261790765446339,0.05910540333613676,0.04406597375503032,0.08435691100564663
temperature_c,-66,51,117,0.865478611414554,0.8575842982856917,0.8762455072108108,0.05585688219819979,0.041204016601133014,0.07845523952309869
temperature_c,-66,54,120,0.8918487832231341,0.8788723991158036,0.9035673185221728,0.05289466591742648,0.03616637854940055,0.0724254615276468
temperature_c,-66,57,123,0.8640736955044355,0.8561343997921951,0.8749990393148006,0.04680828465965488,0.028602395732586532,0.06479273818482106
temperature_c,-66,60,126,0.8121330917801162,0.8000817755698397,0.8243474636855718,0.0368875216013164,0.019608998333931045,0.055577721039027986
temperature_c,-66,63,129,0.7684462058135445,0.7518699677558676,0.7822666250454254,0.027201524702384947,0.010863197857714906,0.046160673718198104
temperature_c,-66,66,132,0.7511623420924587,0.733224863667044,0.7679103691424909,0.019671077365166337,0.0030914680479589562,0.03883218770260905
temperature_c,-66,69,135,0.7672317593963037,0.7500220377380021,0.7814212309905783,0.015723009250211528,-0.0011024593908775312,0.03216719431971091
temperature_c,-66,72,138,0.810296069772132,0.7973079668512055,0.8224617164720218,0.013502190050996569,-0.003796613387074625,0.027169797858581285
temperature_c,-63,3,66,0.8316950623444481,0.8220033343672405,0.8423775839517447,0.22662502338403323,0.21120262519787242,0.25331499712512157
temperature_c,-63,6,69,0.8816230305731897,0.875430132824912,0.8894424118769244,0.22013517296567725,0.20298632777523878,0.24385539083625493
temperature_c,-63,9,72,0.9069342829536013,0.897572053888041,0.9161144676562865,0.21083762895108096,0.19466828903221692,0.2352586670883626
temperature_c,-63,12,75,0.8788702183023129,0.8724507179567486,0.887638555318144,0.19234320384297376,0.1792000031017668,0.22052851449551716
temperature_c,-63,15,78,0.8264481808652404,0.8172222483272901,0.8367332351058397,0.17197744156141725,0.16180142646784906,0.2025008597566291
temperature_c,-63,18,81,0.7818792572045592,0.7684647159682507,0.7946408720687105,0.15291480434391813,0.14347923573685395,0.18753594748189084
temperature_c,-63,21,84,0.7641382534993577,0.7486611298072582,0.778292058504554,0.13865075385022047,0.12808023404328928,0.174505980273222
temperature_c,-63,24,87,0.7793143597161902,0.7645494285293251,0.792560260719318,0.1268843553116749,0.11766453288890488,0.16376956451142866
temperature_c,-63,27,90,0.8208704728121896,0.8109053626944269,0.8330972501493075,0.12106487687898299,0.11072062295840693,0.15547025185881427
temperature_c,-63,30,93,0.8711150808073327,0.8635061173245351,0.8810433785484253,0.11504595461589917,0.10377149070847536,0.14871298456614646
temperature_c,-63,33,96,0.897601556568737,0.8856214589026012,0.9085709144806401,0.11082331474787285,0.09837156775167902,0.1410663047977957
temperature_c,-63,36,99,0.8696500284811486,0.862479835311204,0.8797409080415058,0.10222555531658843,0.08884611504827819,0.1336565592695434
temperature_c,-63,39,102,0.817703967196121,0.8080582045935525,0.8294537599354552,0.09005854984431495,0.07599638969842334,0.12080820755658457
temperature_c,-63,42,105,0.7739736694307369,0.7601429927634696,0.7875406187503087,0.07926281884806984,0.06344365180388989,0.11205151219654355
temperature_c,-63,45,108,0.7568789224536597,0.7401750433411827,0.7718217877949622,0.06977268138649,0.053528569529872484,0.1019105842107819
temperature_c,-63,48,111,0.7720770635027845,0.7587241721225793,0.7863872568688545,0.0626439161401596,0.04881840502223249,0.09276733510995028
temperature_c,-63,51,114,0.8149397447952623,0.8038895455589892,0.8261790765446339,0.05910540333613676,0.04406597375503032,0.08435691100564663
temperature_c,-63,54,117,0.865478611414554,0.8575842982856917,0.8762455072108108,0.05585688219819979,0.041204016601133014,0.07845523952309869
temperature_c,-63,57,120,0.8918487832231341,0.8788723991158036,0.9035673185221728,0.05289466591742648,0.03616637854940055,0.0724254615276468
temperature_c,-63,60,123,0.8640736955044355,0.8561343997921951,0.8749990393148006,0.04680828465965488,0.028602395732586532,0.06479273818482106
temperature_c,-63,63,126,0.8121330917801162,0.8000817755698397,0.8243474636855718,0.0368875216013164,0.019608998333931045,0.055577721039027986
temperature_c,-63,66,129,0.7684462058135445,0.7518699677558676,0.7822666250454254,0.027201524702384947,0.010863197857714906,0.046160673718198104
temperature_c,-63,69,132,0.7511623420924587,0.733224863667044,0.7679103691424909,0.019671077365166337,0.0030914680479589562,0.03883218770260905
temperature_c,-63,72,135,0.7672317593963037,0.7500220377380021,0.7814212309905783,0.015723009250211528,-0.0011024593908775312,0.03216719431971091
temperature_c,-60,3,63,0.7913130667838788,0.7753936860634251,0.8028967944422462,0.23607596650319174,0.22165145538821476,0.2649670217374126
temperature_c,-60,6,66,0.8316950623444481,0.8220033343672405,0.8423775839517447,0.22662502338403323,0.21120262519787242,0.25331499712512157
temperature_c,-60,9,69,0.8816230305731897,0.875430132824912,0.8894424118769244,0.22013517296567725,0.20298632777523878,0.24385539083625493
temperature_c,-60,12,72,0.9069342829536013,0.897572053888041,0.9161144676562865,0.21083762895108096,0.19466828903221692,0.2352586670883626
temperature_c,-60,15,75,0.8788702183023129,0.8724507179567486,0.887638555318144,0.19234320384297376,0.1792000031017668,0.22052851449551716
temperature_c,-60,18,78,0.8264481808652404,0.8172222483272901,0.8367332351058397,0.17197744156141725,0.16180142646784906,0.2025008597566291
temperature_c,-60,21,81,0.7818792572045592,0.7684647159682507,0.7946408720687105,0.15291480434391813,0.14347923573685395,0.18753594748189084
temperature_c,-60,24,84,0.7641382534993577,0.7486611298072582,0.778292058504554,0.13865075385022047,0.12808023404328928,0.174505980273222
temperature_c,-60,27,87,0.7793143597161902,0.7645494285293251,0.792560260719318,0.1268843553116749,0.11766453288890488,0.16376956451142866
temperature_c,-60,30,90,0.8208704728121896,0.8109053626944269,0.8330972501493075,0.12106487687898299,0.11072062295840693,0.15547025185881427
temperature_c,-60,33,93,0.8711150808073327,0.8635061173245351,0.8810433785484253,0.11504595461589917,0.10377149070847536,0.14871298456614646
temperature_c,-60,36,96,0.897601556568737,0.8856214589026012,0.9085709144806401,0.11082331474787285,0.09837156775167902,0.1410663047977957
temperature_c,-60,39,99,0.8696500284811486,0.862479835311204,0.8797409080415058,0.10222555531658843,0.08884611504827819,0.1336565592695434
temperature_c,-60,42,102,0.817703967196121,0.8080582045935525,0.8294537599354552,0.09005854984431495,0.07599638969842334,0.12080820755658457
temperature_c,-60,45,105,0.7739736694307369,0.7601429927634696,0.7875406187503087,0.07926281884806984,0.06344365180388989,0.11205151219654355
temperature_c,-60,48,108,0.7568789224536597,0.7401750433411827,0.7718217877949622,0.06977268138649,0.053528569529872484,0.1019105842107819
temperature_c,-60,51,111,0.7720770635027845,0.7587241721225793,0.7863872568688545,0.0626439161401596,0.04881840502223249,0.09276733510995028
temperature_c,-60,54,114,0.8149397447952623,0.8038895455589892,0.8261790765446339,0.05910540333613676,0.04406597375503032,0.08435691100564663
temperature_c,-60,57,117,0.865478611414554,0.8575842982856917,0.8762455072108108,0.05585688219819979,0.041204016601133014,0.07845523952309869
temperature_c,-60,60,120,0.8918487832231341,0.8788723991158036,0.9035673185221728,0.05289466591742648,0.03616637854940055,0.0724254615276468
temperature_c,-60,63,123,0.8640736955044355,0.8561343997921951,0.8749990393148006,0.04680828465965488,0.028602395732586532,0.06479273818482106
temperature_c,-60,66,126,0.8121330917801162,0.8000817755698397,0.8243474636855718,0.0368875216013164,0.019608998333931045,0.055577721039027986
temperature_c,-60,69,129,0.7684462058135445,0.7518699677558676,0.7822666250454254,0.027201524702384947,0.010863197857714906,0.046160673718198104
temperature_c,-60,72,132,0.7511623420924587,0.733224863667044,0.7679103691424909,0.019671077365166337,0.0030914680479589562,0.03883218770260905
temperature_c,-57,3,60,0.7756331415676349,0.7583311914702315,0.7897193542480252,0.2517869094578078,0.2374703299631802,0.28082970778503735
temperature_c,-57,6,63,0.7913130667838788,0.7753936860634251,0.8028967944422462,0.23607596650319174,0.22165145538821476,0.2649670217374126
temperature_c,-57,9,66,0.8316950623444481,0.8220033343672405,0.8423775839517447,0.22662502338403323,0.21120262519787242,0.25331499712512157
temperature_c,-57,12,69,0.8816230305731897,0.875430132824912,0.8894424118769244,0.22013517296567725,0.20298632777523878,0.24385539083625493
