horizon_hours,points,mae,event_phase
3,478459,8.309049606323242,normal
3,11335,39.744171142578125,onset
3,27828,24.24686050415039,continuation
3,11378,31.181352615356445,decay
6,473324,10.726402282714844,normal
6,16470,48.04014205932617,onset
6,22630,32.545555114746094,continuation
6,16576,33.72250747680664,decay
12,469171,12.263152122497559,normal
12,20623,52.011539459228516,onset
12,18389,39.464393615722656,continuation
12,20817,29.513324737548828,decay
24,465585,13.310462951660156,normal
24,24209,54.16389083862305,onset
24,14679,45.6850700378418,continuation
24,24527,24.480154037475586,decay
36,461810,14.070229530334473,normal
36,27984,56.27705001831055,onset
36,10716,48.51591491699219,continuation
36,28490,22.655275344848633,decay
48,461070,14.328828811645508,normal
48,28724,56.219078063964844,onset
48,9980,51.046165466308594,continuation
48,29226,20.94953155517578,decay
72,459571,14.697301864624023,normal
72,30223,56.93006896972656,onset
72,8663,51.396270751953125,continuation
72,30543,20.548786163330078,decay
