horizon_hours,pm_bin,points,mae
3,"[0,35)",231513,6.386541843414307
3,"[35,75)",200398,9.480389595031738
3,"[75,115)",61588,15.921449661254883
3,"[115,150)",18732,23.261016845703125
3,"[150,250)",13805,32.98394012451172
3,"[250,inf)",2704,72.89215850830078
6,"[0,35)",231527,8.88577938079834
6,"[35,75)",200429,11.743236541748047
6,"[75,115)",61606,20.484682083129883
6,"[115,150)",18725,30.920610427856445
6,"[150,250)",13771,45.15616989135742
6,"[250,inf)",2682,104.01091766357422
12,"[0,35)",231556,10.47986125946045
12,"[35,75)",200468,12.8360595703125
12,"[75,115)",61611,22.878623962402344
12,"[115,150)",18731,35.531166076660156
12,"[150,250)",13723,53.7836799621582
12,"[250,inf)",2650,128.48211669921875
24,"[0,35)",231612,11.440107345581055
24,"[35,75)",200540,13.461495399475098
24,"[75,115)",61629,24.2601318359375
24,"[115,150)",18685,38.69597244262695
24,"[150,250)",13621,60.336334228515625
24,"[250,inf)",2652,142.18922424316406
36,"[0,35)",231689,12.065089225769043
36,"[35,75)",200676,14.203987121582031
36,"[75,115)",61616,25.313358306884766
36,"[115,150)",18599,40.57512283325195
36,"[150,250)",13530,63.99148178100586
36,"[250,inf)",2630,151.5400848388672
48,"[0,35)",231700,12.266182899475098
48,"[35,75)",200671,14.356173515319824
48,"[75,115)",61645,25.313156127929688
48,"[115,150)",18562,40.796119689941406
48,"[150,250)",13489,64.76676177978516
48,"[250,inf)",2675,155.23818969726562
72,"[0,35)",231317,12.729650497436523
72,"[35,75)",200750,14.583451271057129
72,"[75,115)",61832,25.45640754699707
72,"[115,150)",18585,40.911048889160156
72,"[150,250)",13531,65.8222885131836
72,"[250,inf)",2727,160.12380981445312
