feature,event,relative_hour,station_mean_median,station_mean_q25,station_mean_q75,station_mean_n,total_observations,median_events_per_station
pm,clean_persistence,-69,-0.13978675120632988,-0.22128612890298716,-0.08153294138094246,184,605068,3111.5
pm,onset,-69,0.02007088859930271,-0.1603044283167408,0.1482285474814125,168,12290,52.0
pm,polluted_persistence,-69,0.21575397948830416,0.12125809999950582,0.3363638352795508,184,255086,1212.5
pm,clearance,-69,0.3043649458927725,0.19419849800128403,0.5008389331722204,184,28772,138.5
pm,clean_persistence,-63,-0.16031805302427155,-0.24494367007576653,-0.09993185823889056,184,605120,3113.5
pm,onset,-63,0.008491646203897033,-0.20621217818217388,0.12457212824760684,168,12281,52.0
pm,polluted_persistence,-63,0.24938001383411143,0.1469966585498215,0.3812409826017578,184,255291,1213.5
pm,clearance,-63,0.35468993032336127,0.2404369373772411,0.5430223280736484,184,28773,138.5
pm,clean_persistence,-57,-0.19428784183525324,-0.268226673752962,-0.1257319942002615,184,605184,3115.0
pm,onset,-57,-0.07184331302247118,-0.22699037619660767,0.09329459049215523,168,12288,52.0
pm,polluted_persistence,-57,0.290382483100435,0.19340341980382314,0.42433624254546787,184,255526,1213.5
pm,clearance,-57,0.39832827196712095,0.285108871133301,0.5878690832805147,184,28773,138.5
pm,clean_persistence,-51,-0.22651967601012407,-0.299015182163069,-0.15325193089657108,184,605274,3115.5
pm,onset,-51,-0.15096332043057742,-0.29228526729915383,0.040459158716134966,168,12295,52.0
pm,polluted_persistence,-51,0.3592861012022306,0.2509278458422914,0.48922940086026334,184,255779,1215.5
pm,clearance,-51,0.4531361940405563,0.31782936981784565,0.684605965699217,184,28777,138.5
pm,clean_persistence,-45,-0.2688456582451293,-0.3551275188517443,-0.19017522576158152,184,605331,3115.0
pm,onset,-45,-0.2430982511618843,-0.44639097213792145,-0.059611199365717654,168,12286,52.0
pm,polluted_persistence,-45,0.42912971277954554,0.3168312513356496,0.550431251833592,184,255774,1215.5
pm,clearance,-45,0.5384803644171647,0.4034089618960859,0.7494742583601918,184,28777,138.5
pm,clean_persistence,-39,-0.3236473536402074,-0.41206809598233546,-0.24228787857728268,184,605454,3115.0
pm,onset,-39,-0.3672360159520843,-0.5691967481410818,-0.18274624222468397,168,12292,52.0
pm,polluted_persistence,-39,0.5089514065741154,0.4077247575559587,0.6232779657327658,184,255823,1216.0
pm,clearance,-39,0.6514722534890367,0.5105860824781256,0.8336411417875313,184,28794,138.5
pm,clean_persistence,-33,-0.3922678325661897,-0.48763079861698155,-0.3067396771973611,184,605599,3115.5
pm,onset,-33,-0.5637392383332073,-0.7766598786134424,-0.33755836804344447,168,12304,52.0
pm,polluted_persistence,-33,0.6059657940976745,0.5026142089609122,0.7209212558124892,184,255892,1216.5
pm,clearance,-33,0.756314934002555,0.6295816076538556,0.9191007750802958,184,28805,138.5
pm,clean_persistence,-27,-0.4897383306137878,-0.5938785160481976,-0.38933571712425075,184,605783,3115.0
pm,onset,-27,-0.8599959709236848,-1.0405868876043374,-0.5904894312650109,168,12308,52.0
pm,polluted_persistence,-27,0.7287794767491196,0.6267057522788275,0.8704032009754118,184,255972,1216.0
pm,clearance,-27,0.913811719510079,0.7685981459456851,1.0637181757025618,184,28803,138.5
pm,clean_persistence,-21,-0.6013275976424776,-0.7468978845134081,-0.5022274038466292,184,605992,3115.5
pm,onset,-21,-1.1807938139482825,-1.4281806927866634,-0.9429440727230786,168,12314,52.0
pm,polluted_persistence,-21,0.8569514441396933,0.7481246950263118,1.0344424759752247,184,256091,1217.0
pm,clearance,-21,1.1265876608148775,0.9449774825197366,1.3133074922887449,184,28816,138.5
pm,clean_persistence,-15,-0.6836329233661143,-0.8575216505382817,-0.5799180643334902,184,606227,3115.0
pm,onset,-15,-1.2692789270465306,-1.5509683914269843,-0.953799475294517,168,12322,52.0
pm,polluted_persistence,-15,0.97313931710556,0.8368390671894115,1.1663141287741905,184,256226,1217.0
pm,clearance,-15,1.2181887094099977,1.0345946687890226,1.4236845162124394,184,28831,138.5
